,short_name,club_name,league_name,age,player_positions,overall,potential,wage_eur,pace,shooting,passing,dribbling,defending,physic,year
51368,K. Iheanacho,Leicester City,English Premier League,20,ST,75,86,50000.0,84.0,75.0,60.0,74.0,22.0,68.0,2018
51369,Sabin Merino,Athletic Club de Bilbao,Spain Primera Division,25,"LW, ST, RW",75,78,20000.0,77.0,72.0,68.0,75.0,43.0,61.0,2018
51377,S. Sensi,U.S. Sassuolo Calcio,Italian Serie A,21,"CM, CDM",75,83,40000.0,65.0,55.0,75.0,76.0,64.0,66.0,2018
51378,R. Bajić,Udinese Calcio,Italian Serie A,23,"ST, CAM",75,82,20000.0,65.0,74.0,59.0,68.0,25.0,68.0,2018
51403,A. Peñaranda,Málaga CF,Spain Primera Division,20,"ST, LM",75,85,20000.0,82.0,73.0,69.0,81.0,34.0,65.0,2018
51405,T. Hernández,Real Madrid CF,Spain Primera Division,19,LB,75,85,50000.0,84.0,56.0,63.0,75.0,72.0,76.0,2018
51406,G. Shibasaki,Getafe CF,Spain Primera Division,25,"CDM, CAM, RM, ST",75,81,20000.0,71.0,65.0,74.0,76.0,70.0,65.0,2018
51408,D. Liénard,RC Strasbourg Alsace,French Ligue 1,29,"CM, CAM, LM",75,75,20000.0,66.0,69.0,76.0,72.0,57.0,70.0,2018
51410,M. Sarr,OGC Nice,French Ligue 1,18,"CB, LB",75,88,15000.0,72.0,47.0,67.0,65.0,75.0,77.0,2018
51411,F. Chiesa,Fiorentina,Italian Serie A,19,"RM, CF",75,87,30000.0,81.0,68.0,67.0,80.0,32.0,59.0,2018
51413,B. Nivet,ESTAC Troyes,French Ligue 1,40,"CAM, CM",74,74,15000.0,52.0,74.0,76.0,72.0,55.0,60.0,2018
51417,P. Crouch,Stoke City,English Premier League,36,ST,74,74,50000.0,33.0,75.0,68.0,66.0,32.0,69.0,2018
51418,Fernando Navarro,Deportivo de La Coruña,Spain Primera Division,35,LB,74,74,15000.0,58.0,50.0,66.0,66.0,78.0,73.0,2018
51423,R. Cohade,FC Metz,French Ligue 1,32,"CAM, CM",74,74,15000.0,54.0,68.0,76.0,73.0,65.0,71.0,2018
51424,R. Fanni,Olympique de Marseille,French Ligue 1,35,"CB, RB",74,74,20000.0,67.0,54.0,64.0,65.0,72.0,72.0,2018
51425,L. Pionnier,Montpellier Hérault SC,French Ligue 1,35,GK,74,74,10000.0,,,,,,,2018
51432,G. Pandev,Genoa,Italian Serie A,33,"ST, CAM",74,74,30000.0,59.0,73.0,71.0,80.0,38.0,59.0,2018
51433,D. Maietta,Bologna,Italian Serie A,34,CB,74,74,40000.0,40.0,18.0,41.0,49.0,77.0,70.0,2018
51434,Y. Jouffre,FC Metz,French Ligue 1,32,"RM, CAM",74,74,15000.0,68.0,67.0,76.0,74.0,43.0,54.0,2018
51436,M. López,Udinese Calcio,Italian Serie A,33,ST,74,74,30000.0,43.0,74.0,62.0,70.0,24.0,68.0,2018
51437,J. Morel,Olympique Lyonnais,French Ligue 1,33,"LB, CB",74,74,50000.0,73.0,53.0,63.0,63.0,74.0,77.0,2018
51447,Mikel Rico,Athletic Club de Bilbao,Spain Primera Division,32,CM,74,74,20000.0,53.0,63.0,70.0,66.0,70.0,75.0,2018
51450,J. Drobný,SV Werder Bremen,German 1. Bundesliga,37,GK,74,74,15000.0,,,,,,,2018
51452,J. Puncheon,Crystal Palace,English Premier League,31,"CM, CAM, LM",74,74,50000.0,67.0,70.0,75.0,75.0,61.0,70.0,2018
51454,E. Barreto,U.C. Sampdoria,Italian Serie A,32,"CM, CDM",74,74,30000.0,68.0,65.0,73.0,70.0,70.0,71.0,2018
51456,Àngel Rangel,Swansea City,English Premier League,34,RB,74,74,50000.0,50.0,59.0,71.0,72.0,79.0,72.0,2018
51458,C. Adam,Stoke City,English Premier League,31,"CM, CDM, CAM",74,74,60000.0,43.0,75.0,79.0,67.0,58.0,72.0,2018
51463,M. Russ,Eintracht Frankfurt,German 1. Bundesliga,31,"CB, CDM",74,74,20000.0,31.0,47.0,53.0,42.0,76.0,69.0,2018
51469,D. Delaney,Crystal Palace,English Premier League,35,CB,74,74,30000.0,32.0,41.0,49.0,39.0,74.0,79.0,2018
51502,B. Watson,Watford,English Premier League,31,"CDM, CM",74,74,40000.0,50.0,68.0,76.0,71.0,68.0,70.0,2018
51503,D. Padelli,Inter,Italian Serie A,31,GK,74,74,40000.0,,,,,,,2018
51506,D. Congré,Montpellier Hérault SC,French Ligue 1,32,"CB, LB",74,74,20000.0,57.0,30.0,62.0,66.0,74.0,76.0,2018
51508,J. Féret,Stade Malherbe Caen,French Ligue 1,34,CM,74,74,20000.0,46.0,69.0,76.0,73.0,53.0,68.0,2018
51511,D. Aogo,VfB Stuttgart,German 1. Bundesliga,30,"LB, CDM",74,74,20000.0,68.0,56.0,74.0,73.0,73.0,75.0,2018
51512,Bruno Gama,Deportivo de La Coruña,Spain Primera Division,29,"RM, CAM, LM",74,74,20000.0,73.0,68.0,74.0,76.0,41.0,59.0,2018
51516,L. Ulloa,Leicester City,English Premier League,30,ST,74,74,60000.0,49.0,72.0,62.0,69.0,42.0,79.0,2018
51517,Bebé,SD Eibar,Spain Primera Division,26,"LM, RM",74,74,20000.0,83.0,73.0,69.0,75.0,28.0,78.0,2018
51524,Y. Cahuzac,Toulouse Football Club,French Ligue 1,32,"CDM, CM",74,74,30000.0,51.0,46.0,66.0,62.0,72.0,79.0,2018
51525,J. Sorbon,En Avant de Guingamp,French Ligue 1,33,CB,74,74,20000.0,34.0,31.0,58.0,46.0,77.0,67.0,2018
51527,Z. Kuzmanović,Málaga CF,Spain Primera Division,29,"CM, CDM",74,74,20000.0,44.0,68.0,74.0,68.0,70.0,72.0,2018
51528,B. Dramé,Atalanta,Italian Serie A,31,"LB, LM",74,74,20000.0,80.0,56.0,63.0,72.0,72.0,73.0,2018
51531,S. Gakpé,Amiens SC,French Ligue 1,30,"RM, ST",74,74,20000.0,89.0,71.0,66.0,77.0,28.0,60.0,2018
51534,W. Hennessey,Crystal Palace,English Premier League,30,GK,74,74,40000.0,,,,,,,2018
51560,A. Costa,Benevento,Italian Serie A,31,CB,74,74,30000.0,68.0,37.0,49.0,61.0,76.0,72.0,2018
51563,Sergio Sánchez,RCD Espanyol de Barcelona,Spain Primera Division,31,CB,74,74,20000.0,67.0,52.0,59.0,56.0,74.0,78.0,2018
51566,F. Peluso,U.S. Sassuolo Calcio,Italian Serie A,33,"LB, CB",74,74,40000.0,64.0,50.0,59.0,59.0,80.0,72.0,2018
51570,M. Heller,FC Augsburg,German 1. Bundesliga,31,"LM, RM",74,74,20000.0,93.0,65.0,63.0,76.0,28.0,64.0,2018
51577,D. Stephens,Brighton & Hove Albion,English Premier League,28,CM,74,74,50000.0,63.0,65.0,73.0,67.0,71.0,75.0,2018
51579,M. Langerak,Levante Unión Deportiva,Spain Primera Division,28,GK,74,75,20000.0,,,,,,,2018
51583,C. Beauvue,CD Leganés,Spain Primera Division,29,"ST, RW",74,74,30000.0,70.0,72.0,68.0,73.0,44.0,58.0,2018
51587,J. Hogg,Huddersfield Town,English Premier League,28,"CDM, CM",74,74,40000.0,70.0,55.0,65.0,68.0,71.0,79.0,2018
51591,M. Dossevi,FC Metz,French Ligue 1,29,RM,74,74,15000.0,80.0,67.0,71.0,77.0,36.0,58.0,2018
51593,V. Bessat,Stade Malherbe Caen,French Ligue 1,31,"LM, LB",74,74,20000.0,73.0,63.0,74.0,75.0,64.0,67.0,2018
51603,Raúl Fernández,Levante Unión Deportiva,Spain Primera Division,29,GK,74,76,20000.0,,,,,,,2018
51606,A. Barnes,Burnley,English Premier League,27,"ST, CAM",74,74,50000.0,67.0,73.0,63.0,73.0,42.0,81.0,2018
51609,S. Privat,En Avant de Guingamp,French Ligue 1,27,ST,74,74,30000.0,65.0,71.0,58.0,66.0,31.0,67.0,2018
51615,F. Sammaritano,Dijon FCO,French Ligue 1,31,"LM, LW",74,74,20000.0,75.0,64.0,73.0,75.0,23.0,57.0,2018
51617,F. Cacciatore,Chievo Verona,Italian Serie A,30,"RB, LB",74,74,15000.0,75.0,53.0,60.0,63.0,75.0,78.0,2018
51619,Dani Pacheco,Getafe CF,Spain Primera Division,26,LM,74,75,20000.0,74.0,66.0,72.0,81.0,30.0,61.0,2018
51620,M. Sau,Cagliari,Italian Serie A,29,"ST, CF",74,74,50000.0,90.0,72.0,71.0,80.0,22.0,56.0,2018
51630,G. Angella,Udinese Calcio,Italian Serie A,28,CB,74,74,20000.0,42.0,42.0,51.0,49.0,75.0,72.0,2018
51633,D. Diekmeier,Hamburger SV,German 1. Bundesliga,27,RB,74,75,30000.0,86.0,40.0,65.0,66.0,70.0,74.0,2018
51636,Diego Farías,Cagliari,Italian Serie A,27,"CF, CAM, RW, LW",74,75,50000.0,88.0,67.0,67.0,80.0,23.0,46.0,2018
51639,Ramalho,Girona FC,Spain Primera Division,24,"CB, RB",74,80,20000.0,74.0,35.0,56.0,53.0,74.0,73.0,2018
51640,Da Costa,Bologna,Italian Serie A,33,GK,74,74,30000.0,,,,,,,2018
51641,S. Armenteros,Benevento,Italian Serie A,27,ST,74,75,30000.0,67.0,72.0,62.0,75.0,34.0,68.0,2018
51643,V. Manceau,Angers SCO,French Ligue 1,27,"LB, RB",74,74,20000.0,50.0,45.0,70.0,74.0,76.0,73.0,2018
51645,José Ángel,SD Eibar,Spain Primera Division,27,LB,74,74,20000.0,75.0,51.0,67.0,69.0,71.0,68.0,2018
51646,M. Samassa,ESTAC Troyes,French Ligue 1,27,GK,74,75,15000.0,,,,,,,2018
51648,N. Rigoni,Chievo Verona,Italian Serie A,26,"CM, CDM",74,77,15000.0,61.0,55.0,71.0,71.0,66.0,75.0,2018
51655,J. Schieber,Hertha BSC,German 1. Bundesliga,28,ST,74,74,30000.0,68.0,75.0,59.0,64.0,28.0,76.0,2018
51658,L. Sepe,Napoli,Italian Serie A,26,GK,74,77,40000.0,,,,,,,2018
51672,P. Lasne,Montpellier Hérault SC,French Ligue 1,28,"LM, RM, CM",74,74,30000.0,68.0,72.0,73.0,73.0,71.0,73.0,2018
51675,Rafael,Napoli,Italian Serie A,27,GK,74,77,40000.0,,,,,,,2018
51678,S. Duffy,Brighton & Hove Albion,English Premier League,25,CB,74,79,40000.0,51.0,42.0,51.0,45.0,72.0,79.0,2018
51680,Juanpe,Girona FC,Spain Primera Division,26,CB,74,78,20000.0,59.0,35.0,54.0,46.0,74.0,77.0,2018
51682,D. Falcinelli,U.S. Sassuolo Calcio,Italian Serie A,26,ST,74,75,50000.0,73.0,73.0,52.0,70.0,20.0,67.0,2018
51687,Rômulo,Hellas Verona,Italian Serie A,30,"CM, RB",74,74,30000.0,75.0,65.0,73.0,76.0,69.0,70.0,2018
51688,F. Đuričić,U.C. Sampdoria,Italian Serie A,25,"CAM, LW",74,77,30000.0,76.0,65.0,71.0,78.0,35.0,59.0,2018
51693,F. Kainz,SV Werder Bremen,German 1. Bundesliga,24,"LM, LW, CAM, CF",74,78,20000.0,85.0,65.0,68.0,79.0,31.0,56.0,2018
51696,Joel Robles,Everton,English Premier League,27,GK,74,78,60000.0,,,,,,,2018
51697,Suk Hyun Jun,ESTAC Troyes,French Ligue 1,26,ST,74,76,30000.0,64.0,74.0,58.0,72.0,34.0,79.0,2018
51700,F. Moubandje,Toulouse Football Club,French Ligue 1,27,LB,74,75,30000.0,71.0,48.0,65.0,70.0,75.0,77.0,2018
51701,A. Ragusa,U.S. Sassuolo Calcio,Italian Serie A,27,LW,74,74,50000.0,88.0,67.0,67.0,77.0,33.0,66.0,2018
51703,Guerrero,CD Leganés,Spain Primera Division,26,ST,74,75,30000.0,70.0,73.0,61.0,68.0,36.0,68.0,2018
51705,Raul García,CD Leganés,Spain Primera Division,28,"LB, CB",74,74,20000.0,74.0,62.0,71.0,67.0,71.0,75.0,2018
51708,J. McClean,West Bromwich Albion,English Premier League,28,LM,74,74,60000.0,77.0,67.0,69.0,76.0,58.0,75.0,2018
51709,J. Drmić,Borussia Mönchengladbach,German 1. Bundesliga,24,"ST, RM, LM",74,79,30000.0,77.0,75.0,66.0,73.0,37.0,71.0,2018
51712,V. Pajot,AS Saint-Étienne,French Ligue 1,26,"CM, CDM",74,74,30000.0,65.0,57.0,71.0,72.0,74.0,70.0,2018
51715,L. Traoré,Amiens SC,French Ligue 1,27,ST,74,75,20000.0,68.0,73.0,51.0,64.0,34.0,75.0,2018
51717,B. Dabo,AS Saint-Étienne,French Ligue 1,25,"CM, CDM, RB",74,79,30000.0,78.0,71.0,72.0,74.0,74.0,79.0,2018
51720,B. Dja Djédjé,Watford,English Premier League,26,RB,74,76,40000.0,78.0,59.0,69.0,73.0,71.0,75.0,2018
51727,Arbilla,SD Eibar,Spain Primera Division,30,"RB, LB",74,74,20000.0,67.0,55.0,68.0,67.0,75.0,79.0,2018
51730,A. Soumaoro,LOSC Lille,French Ligue 1,25,CB,74,79,30000.0,59.0,37.0,50.0,52.0,74.0,83.0,2018
51731,Carles Planas,Girona FC,Spain Primera Division,26,LB,74,77,20000.0,75.0,38.0,63.0,68.0,71.0,70.0,2018
51732,T. Ince,Huddersfield Town,English Premier League,25,"RW, LW, CAM",74,77,50000.0,79.0,69.0,68.0,77.0,26.0,53.0,2018
51733,N. Schulz,TSG Hoffenheim,German 1. Bundesliga,24,"LB, LM",74,79,20000.0,87.0,50.0,67.0,74.0,69.0,71.0,2018
51737,M. Leitner,FC Augsburg,German 1. Bundesliga,24,"CM, CAM, RM",74,77,20000.0,74.0,65.0,74.0,79.0,51.0,59.0,2018
51740,L. Carole,Sevilla FC,Spain Primera Division,26,LB,74,77,15000.0,83.0,40.0,65.0,73.0,71.0,77.0,2018
51745,A. Acquah,Torino F.C.,Italian Serie A,25,CM,74,77,40000.0,79.0,63.0,68.0,75.0,72.0,80.0,2018
51748,Ryder,Udinese Calcio,Italian Serie A,24,"ST, CF",74,78,20000.0,78.0,70.0,63.0,78.0,30.0,66.0,2018
51749,Juankar,Málaga CF,Spain Primera Division,27,"LB, LM, LWB",74,75,20000.0,77.0,63.0,69.0,75.0,67.0,69.0,2018
51750,Gabriel,AC Milan,Italian Serie A,24,GK,74,80,40000.0,,,,,,,2018
51751,J. Schmid,FC Augsburg,German 1. Bundesliga,27,"RM, LM",74,74,20000.0,75.0,68.0,71.0,74.0,61.0,74.0,2018
51752,B. Afobe,AFC Bournemouth,English Premier League,24,ST,74,79,50000.0,80.0,73.0,60.0,71.0,26.0,72.0,2018
51754,M. Ostrzolek,Hannover 96,German 1. Bundesliga,27,"LB, CDM",74,74,30000.0,75.0,46.0,64.0,72.0,72.0,70.0,2018
51756,Rodrigo Ely,Deportivo Alavés,Spain Primera Division,23,CB,74,78,20000.0,68.0,26.0,38.0,53.0,75.0,78.0,2018
51758,David Juncà,SD Eibar,Spain Primera Division,23,LB,74,80,15000.0,81.0,45.0,63.0,68.0,70.0,78.0,2018
51769,D. Suárez,Getafe CF,Spain Primera Division,29,"RB, LB, RWB",74,74,20000.0,81.0,66.0,66.0,66.0,69.0,78.0,2018
51771,David Simón,Unión Deportiva Las Palmas,Spain Primera Division,27,RB,74,75,20000.0,77.0,46.0,66.0,70.0,70.0,71.0,2018
51775,A. Katai,Deportivo Alavés,Spain Primera Division,26,"RM, LM",74,75,20000.0,65.0,74.0,73.0,78.0,37.0,64.0,2018
51777,M. Wagué,Watford,English Premier League,26,CB,74,77,40000.0,58.0,33.0,41.0,44.0,74.0,81.0,2018
51783,G. Sakai,Hamburger SV,German 1. Bundesliga,26,"RB, CDM",74,76,30000.0,75.0,47.0,69.0,72.0,71.0,69.0,2018
51791,Albentosa,Deportivo de La Coruña,Spain Primera Division,28,CB,74,75,20000.0,35.0,47.0,52.0,41.0,74.0,82.0,2018
51792,I. Santini,Stade Malherbe Caen,French Ligue 1,28,ST,74,74,30000.0,38.0,78.0,54.0,64.0,37.0,84.0,2018
51793,O. Tannane,Unión Deportiva Las Palmas,Spain Primera Division,23,"RM, LM, CAM",74,79,15000.0,78.0,77.0,68.0,78.0,36.0,71.0,2018
51794,R. Quaison,1. FSV Mainz 05,German 1. Bundesliga,23,"LM, CF",74,81,20000.0,78.0,64.0,71.0,76.0,55.0,70.0,2018
51802,P. Capelle,Angers SCO,French Ligue 1,30,"CM, RW, LM, LW",74,74,20000.0,74.0,71.0,73.0,76.0,66.0,66.0,2018
51805,J. Ikoko,En Avant de Guingamp,French Ligue 1,23,"RB, LB",74,79,20000.0,80.0,36.0,62.0,70.0,72.0,66.0,2018
51811,M. Kempf,Sport-Club Freiburg,German 1. Bundesliga,22,CB,74,81,20000.0,67.0,38.0,56.0,59.0,73.0,74.0,2018
51815,C. Jean,Toulouse Football Club,French Ligue 1,21,"RM, LM, ST",74,86,20000.0,88.0,74.0,67.0,76.0,27.0,51.0,2018
51816,R. Centurión,Genoa,Italian Serie A,24,"LW, CAM",74,79,30000.0,87.0,64.0,67.0,81.0,41.0,59.0,2018
51817,M. Konaté,Amiens SC,French Ligue 1,24,ST,74,80,20000.0,90.0,69.0,54.0,73.0,23.0,64.0,2018
51820,Pere Pons,Girona FC,Spain Primera Division,24,CM,74,80,20000.0,67.0,55.0,71.0,71.0,71.0,72.0,2018
51822,T. Strakosha,Lazio,Italian Serie A,22,GK,74,84,30000.0,,,,,,,2018
51823,P. Max,FC Augsburg,German 1. Bundesliga,23,"LB, LM",74,78,20000.0,82.0,48.0,65.0,72.0,68.0,71.0,2018
51824,P. Sisto,RC Celta de Vigo,Spain Primera Division,22,"LW, RW",74,83,20000.0,84.0,72.0,64.0,79.0,52.0,66.0,2018
51826,A. Djiku,Stade Malherbe Caen,French Ligue 1,22,"RB, CB",74,80,20000.0,77.0,40.0,61.0,67.0,73.0,76.0,2018
51829,A. Niane,ESTAC Troyes,French Ligue 1,24,ST,74,76,20000.0,74.0,74.0,51.0,70.0,20.0,68.0,2018
51830,Medrán,Deportivo Alavés,Spain Primera Division,23,"CM, CDM, CAM",74,80,20000.0,61.0,68.0,77.0,73.0,63.0,56.0,2018
51831,R. De Paul,Udinese Calcio,Italian Serie A,23,"RW, CAM, LM",74,82,20000.0,69.0,70.0,74.0,79.0,39.0,63.0,2018
51833,C. Salcedo,Eintracht Frankfurt,German 1. Bundesliga,23,CB,74,80,20000.0,67.0,26.0,49.0,60.0,76.0,74.0,2018
51834,L. Depoitre,Huddersfield Town,English Premier League,28,ST,74,74,50000.0,55.0,72.0,59.0,63.0,37.0,84.0,2018
51836,R. Walter,OGC Nice,French Ligue 1,22,"CM, CDM",74,82,30000.0,68.0,59.0,74.0,74.0,68.0,69.0,2018
51841,A. Iwobi,Arsenal,English Premier League,21,LM,74,85,60000.0,78.0,61.0,66.0,82.0,28.0,65.0,2018
51843,Thiago Mendes,LOSC Lille,French Ligue 1,25,"CDM, CM, RB",74,79,30000.0,81.0,68.0,70.0,75.0,71.0,68.0,2018
51852,Postigo,Levante Unión Deportiva,Spain Primera Division,28,CB,74,75,20000.0,63.0,45.0,45.0,53.0,74.0,77.0,2018
51861,G. Carrillo,AS Monaco,French Ligue 1,26,ST,74,75,30000.0,63.0,75.0,53.0,70.0,35.0,77.0,2018
51862,Rúben Vezo,Valencia CF,Spain Primera Division,23,"CB, RB",74,80,20000.0,64.0,49.0,59.0,54.0,75.0,72.0,2018
51863,Ayoze Pérez,Newcastle United,English Premier League,23,"CAM, ST, LM",74,81,50000.0,75.0,72.0,62.0,80.0,25.0,64.0,2018
51867,A. El Ghazi,LOSC Lille,French Ligue 1,22,RW,74,80,40000.0,79.0,75.0,67.0,75.0,29.0,70.0,2018
51869,M. Oikonomou,SPAL,Italian Serie A,24,CB,74,78,10000.0,60.0,25.0,43.0,56.0,76.0,74.0,2018
51876,L. Lerager,FC Girondins de Bordeaux,French Ligue 1,23,"CM, CDM",74,80,30000.0,64.0,66.0,68.0,70.0,66.0,75.0,2018
51880,F. Mubele,Stade Rennais FC,French Ligue 1,23,"ST, RM, LM",74,78,20000.0,81.0,74.0,53.0,74.0,23.0,68.0,2018
51881,G. Maripán,Deportivo Alavés,Spain Primera Division,23,CB,74,78,20000.0,54.0,33.0,48.0,46.0,73.0,78.0,2018
51883,J. Amavi,Olympique de Marseille,French Ligue 1,23,LB,74,80,20000.0,79.0,67.0,67.0,73.0,72.0,69.0,2018
51884,Chema Rodríguez,Levante Unión Deportiva,Spain Primera Division,25,CB,74,79,20000.0,69.0,54.0,56.0,57.0,74.0,75.0,2018
51887,J. Riedewald,Crystal Palace,English Premier League,20,"CB, CDM, LB",74,82,30000.0,74.0,51.0,66.0,70.0,73.0,71.0,2018
51888,N. Elvedi,Borussia Mönchengladbach,German 1. Bundesliga,20,"CB, RB",74,84,20000.0,70.0,33.0,60.0,67.0,75.0,75.0,2018
51890,E. Crivelli,Angers SCO,French Ligue 1,22,ST,74,81,20000.0,61.0,71.0,62.0,67.0,32.0,81.0,2018
51893,M. Locatelli,AC Milan,Italian Serie A,19,CDM,74,86,40000.0,66.0,63.0,73.0,74.0,69.0,69.0,2018
51896,Walace,Hamburger SV,German 1. Bundesliga,22,"CDM, CM",74,82,20000.0,68.0,67.0,65.0,68.0,73.0,72.0,2018
51897,T. Touré,Angers SCO,French Ligue 1,23,"LM, LW, ST",74,79,20000.0,79.0,69.0,72.0,75.0,44.0,68.0,2018
51901,E. Ünal,Villarreal CF,Spain Primera Division,20,ST,74,84,30000.0,70.0,77.0,61.0,73.0,32.0,66.0,2018
51904,Eraso,CD Leganés,Spain Primera Division,27,"CAM, CDM",74,75,20000.0,64.0,70.0,71.0,68.0,58.0,75.0,2018
51906,T. Baumgartl,VfB Stuttgart,German 1. Bundesliga,21,CB,74,83,15000.0,58.0,34.0,56.0,55.0,76.0,70.0,2018
51907,M. Lopez,Olympique de Marseille,French Ligue 1,19,CM,74,83,15000.0,71.0,60.0,72.0,76.0,51.0,56.0,2018
51910,Gonçalo Guedes,Valencia CF,Spain Primera Division,20,"ST, RM, LM",74,82,20000.0,82.0,75.0,70.0,76.0,36.0,64.0,2018
51911,G. Ferrari,U.C. Sampdoria,Italian Serie A,25,CB,74,79,30000.0,50.0,19.0,35.0,42.0,76.0,76.0,2018
51914,A. Meret,SPAL,Italian Serie A,20,GK,74,88,8000.0,,,,,,,2018
51915,E. Skhiri,Montpellier Hérault SC,French Ligue 1,22,CDM,74,80,20000.0,67.0,64.0,70.0,71.0,73.0,71.0,2018
51916,Merino,Newcastle United,English Premier League,21,"CDM, CB, CM",74,84,40000.0,61.0,63.0,72.0,72.0,69.0,72.0,2018
51919,A. Masina,Bologna,Italian Serie A,23,LB,74,79,40000.0,78.0,38.0,66.0,67.0,71.0,78.0,2018
51922,G. Lo Celso,Paris Saint-Germain,French Ligue 1,21,"CAM, CM",74,86,50000.0,75.0,62.0,76.0,77.0,40.0,63.0,2018
51925,M. Dmitrović,SD Eibar,Spain Primera Division,25,GK,74,77,15000.0,,,,,,,2018
51926,F. Grillitsch,TSG Hoffenheim,German 1. Bundesliga,21,"CM, CDM, LM, RM",74,80,20000.0,64.0,58.0,73.0,74.0,61.0,61.0,2018
51928,Jorge,AS Monaco,French Ligue 1,21,LB,74,82,20000.0,79.0,55.0,67.0,74.0,70.0,64.0,2018
51959,M. Diakhaby,Olympique Lyonnais,French Ligue 1,20,CB,74,82,40000.0,43.0,31.0,42.0,46.0,75.0,80.0,2018
51962,Á. Nagy,Bologna,Italian Serie A,22,CDM,74,85,40000.0,75.0,54.0,77.0,78.0,68.0,62.0,2018
51964,C. Ninga,Montpellier Hérault SC,French Ligue 1,24,"ST, LM",74,79,20000.0,88.0,75.0,61.0,72.0,27.0,78.0,2018
51966,Lato,Valencia CF,Spain Primera Division,19,"LB, LWB, LM",74,83,15000.0,80.0,53.0,68.0,70.0,70.0,62.0,2018
51967,Ç. Söyüncü,Sport-Club Freiburg,German 1. Bundesliga,21,CB,74,84,15000.0,71.0,45.0,50.0,58.0,75.0,76.0,2018
51968,T. Fosu-Mensah,Crystal Palace,English Premier League,19,"RB, CB, CDM",74,86,20000.0,84.0,62.0,66.0,66.0,73.0,77.0,2018
51970,M. Škriniar,Inter,Italian Serie A,22,CB,74,81,40000.0,63.0,43.0,53.0,50.0,75.0,69.0,2018
51971,F. Ricca,Málaga CF,Spain Primera Division,22,LB,74,82,20000.0,72.0,34.0,59.0,59.0,74.0,71.0,2018
51974,R. Sobhi,Stoke City,English Premier League,20,"LM, RM",74,85,40000.0,75.0,62.0,71.0,77.0,43.0,65.0,2018
51975,A. Ndiaye Diedhiou,Getafe CF,Spain Primera Division,20,"ST, LM, CAM",74,87,20000.0,90.0,69.0,63.0,80.0,44.0,68.0,2018
51977,Odriozola,Real Sociedad,Spain Primera Division,21,"RB, RM",74,84,20000.0,81.0,39.0,57.0,57.0,71.0,58.0,2018
51979,Pol Lirola,U.S. Sassuolo Calcio,Italian Serie A,19,RB,74,80,20000.0,82.0,45.0,68.0,73.0,71.0,70.0,2018
51980,C. Ünder,Roma,Italian Serie A,19,"RM, LM",74,83,30000.0,81.0,71.0,68.0,76.0,32.0,54.0,2018
51981,Marc Roca,RCD Espanyol de Barcelona,Spain Primera Division,20,"CDM, CM",74,85,20000.0,56.0,56.0,72.0,71.0,69.0,66.0,2018
51982,J. Pavlenka,SV Werder Bremen,German 1. Bundesliga,25,GK,74,79,20000.0,,,,,,,2018
51995,B. Myhill,West Bromwich Albion,English Premier League,34,GK,73,73,40000.0,,,,,,,2018
51996,L. Grant,Stoke City,English Premier League,34,GK,73,73,40000.0,,,,,,,2018
51999,R. Green,Huddersfield Town,English Premier League,37,GK,73,73,20000.0,,,,,,,2018
52000,S. Padoin,Cagliari,Italian Serie A,33,"RB, CM, LB",73,73,40000.0,69.0,63.0,74.0,74.0,72.0,67.0,2018
52003,J. Plašil,FC Girondins de Bordeaux,French Ligue 1,35,"CM, CDM",73,73,30000.0,40.0,60.0,76.0,74.0,58.0,56.0,2018
52008,M. Gobbi,Chievo Verona,Italian Serie A,36,LB,73,73,10000.0,59.0,57.0,68.0,64.0,76.0,68.0,2018
52018,Bruno Saltor,Brighton & Hove Albion,English Premier League,36,RB,73,73,30000.0,62.0,45.0,70.0,70.0,74.0,68.0,2018
52019,Tito,CD Leganés,Spain Primera Division,31,"RB, LB",73,73,20000.0,71.0,45.0,65.0,68.0,71.0,68.0,2018
52020,Momo,Unión Deportiva Las Palmas,Spain Primera Division,34,"LM, RM",73,73,20000.0,61.0,67.0,77.0,73.0,48.0,63.0,2018
52027,C. Molinaro,Torino F.C.,Italian Serie A,33,"LB, LM",73,73,40000.0,71.0,49.0,66.0,68.0,73.0,72.0,2018
52028,S. Pellissier,Chievo Verona,Italian Serie A,38,ST,73,73,15000.0,43.0,79.0,64.0,72.0,29.0,52.0,2018
52035,Jorge Molina,Getafe CF,Spain Primera Division,35,ST,73,73,20000.0,32.0,76.0,57.0,59.0,37.0,81.0,2018
52086,A. Federici,AFC Bournemouth,English Premier League,32,GK,73,73,40000.0,,,,,,,2018
52091,M. Pugh,AFC Bournemouth,English Premier League,30,LM,73,73,60000.0,71.0,66.0,67.0,76.0,39.0,68.0,2018
52097,M. Amalfitano,Stade Rennais FC,French Ligue 1,32,"RM, CM, LW, RW",73,73,20000.0,67.0,70.0,74.0,74.0,59.0,58.0,2018
52106,M. Suttner,Brighton & Hove Albion,English Premier League,30,"LB, LWB",73,73,40000.0,74.0,58.0,71.0,71.0,69.0,71.0,2018
52107,M. Lacen,Getafe CF,Spain Primera Division,33,"CDM, CM",73,73,20000.0,56.0,58.0,72.0,72.0,67.0,72.0,2018
52121,G. Murray,Brighton & Hove Albion,English Premier League,33,ST,73,73,50000.0,49.0,73.0,59.0,66.0,35.0,74.0,2018
